original_text,translated_text,detoxified_text,sentiment_result,sentiment_explanation,toxicity_result,toxicity_explanation
"Ni kipaji gani! Hiki kipikiosafi kinafanya kazi poa sana, lakini inachukua muda mrefu kuwasha.","What talent is this! This electric cooker works very well, but it takes a long time to heat up.","What talent is this! This electric cooker works very well, but it takes a long time to heat up.",Neutral,"The sentiment of the sentence is neutral because it contains both positive and negative elements, with the positive aspect of the cooker’s performance balanced by the negative aspect of its heating time.",Non-Toxic,The sentence is non-toxic as it expresses a balanced opinion about the product without using harmful or derogatory language.
"Ninapenda ubora wa picha, ila simu hii inajifunga ghafla, sijui tatizo ni nini.","I love the quality of the pictures, but this phone suddenly freezes, I don't know what the problem is.","I appreciate the quality of the pictures, but I'm experiencing unexpected freezing with this phone, and I'm unsure what the problem might be.",Neutral,"The sentence expresses both positive and negative sentiments. The positive aspect is the appreciation for the picture quality, while the negative aspect is the frustration regarding the phone's malfunction. The uncertainty at the end contributes to a neutral overall sentiment.",Non-Toxic,The sentence discusses a technical issue with a phone without using harmful language or expressing hostility. It remains focused on a product issue rather than targeting individuals or groups.
"Kweli, kozi hii ya mtandaoni inavutia, lakini ada zake ni kali mno, sijui kama inastahili.","Indeed, this online course is interesting, but its fees are very high, I don't know if it's worth it.","Indeed, this online course is interesting, but its fees are very high, I don't know if it's worth it.",Neutral,"The sentence presents a mixed sentiment, acknowledging the interesting nature of the course while expressing concern over its high fees and uncertainty about its value.",Non-Toxic,The sentence expresses a personal opinion and skepticism about the pricing of the course without using harmful language or attitudes.
"Nashukuru huduma ya haraka, lakini chakula kimefika kikiwa baridi, si tamu kamwe.","I appreciate the quick service, but the food arrived cold and is never tasty.","I appreciate the quick service, but I would like to mention that the food arrived cold and was not very tasty.",Negative,"The overall sentiment is negative due to complaints about the food being cold and not tasty, outweighing the positive aspect of appreciating the quick service.",Non-Toxic,The sentence is non-toxic as it expresses constructive feedback without any abusive or derogatory language.
"Haya magari mapya ni mazuri, ila bei yake 'inaniwasha kichwa' vibaya sana.","These new cars are nice, but their price is 'giving me a headache' very much.","These new cars are nice, but I find their price to be quite overwhelming.",Negative,"The overall sentiment of the sentence leans heavily towards negative due to the strong frustration expressed about the price of the cars, overshadowing the initial positive remark.",Non-Toxic,The sentence is considered non-toxic as it expresses a personal opinion about cars without targeting anyone or using harmful language.
"Nilifikiri itakuwa mbovu, kumbe app hii ya mazoezi inanifanya nihisi nipo gym halisi, nimeipenda!","I thought it would be bad, but this workout app makes me feel like I'm in a real gym, I love it!","I thought it would be bad, but this workout app makes me feel like I'm in a real gym, I love it!",Positive,The overall sentiment of the sentence is positive due to the user's realization of the app's effectiveness and their strong expression of enjoyment.,Non-Toxic,The sentence is non-toxic as it expresses a positive experience without any harmful or derogatory language.
"Muundo wa tovuti hii ni maridadi, lakini ina mizigo ya matangazo kila ukurasa, inakera sana.","The design of this website is elegant, but it has loads of ads on every page, it's very annoying.","The website's design is quite appealing, but it contains numerous ads on each page, which can be quite bothersome.",Mixed,The sentence expresses both positive and negative sentiments: it praises the website's design as 'elegant' while criticizing the excessive ads that are 'very annoying.' This duality leads to a mixed sentiment classification.,Non-Toxic,"The sentence critiques the website's ads without using hostile or offensive language. It expresses personal frustration rather than aggression, making it a fair and constructive critique rather than a toxic statement."
"Nilinunua kifaa cha kusafisha hewa, kimepunguza vumbi, ila kelele zake ni ngumu kuvumilia.","I bought an air purifier, it has reduced dust, but its noise is hard to tolerate.","I bought an air purifier, it has reduced dust, but its noise is hard to tolerate.",Neutral,The sentiment of the sentence is neutral due to the mixed elements of positive feedback regarding the air purifier's effectiveness in reducing dust and negative feedback about its noise level.,Non-Toxic,The sentence is non-toxic as it expresses a personal experience without any harmful intent or aggressive language.
"Kiukweli, huu mchezo mpya una burudani, lakini huwezi kusonga mbele bila kununua vipengele vya ziada, inaboa!","Honestly, this new game is entertaining, but you can't progress without buying extra features, it's annoying!","Honestly, this new game is entertaining, but it can be frustrating to feel like you need to buy extra features to progress.",Negative,"The overall sentiment of the sentence is negative due to the frustration expressed about the game's monetization strategy, which overshadows the initial positive remark about its entertainment value.",Non-Toxic,"The sentence expresses dissatisfaction and frustration in a critical but non-aggressive manner, making it non-toxic."
"Unajua, nilidhani hakutakuwa na tofauti, lakini ukweli ni kwamba mtandao huu wa kasi umeokoa muda wangu sana.","You know, I thought there wouldn't be a difference, but the truth is that this fast internet has saved me a lot of time.","You know, I initially thought there wouldn't be a difference, but I've come to appreciate how much this fast internet has saved me time.",Positive,"The sentiment of the sentence is positive because it reflects a realization that the fast internet has provided a significant benefit by saving time, which is viewed favorably.",Non-Toxic,"The sentence is non-toxic as it expresses a personal experience without any harmful language, negativity, or personal attacks. It conveys appreciation rather than hostility."
